FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity
0.105727956,0.6067254,0.74857685,94.09054284
0.116571151,0.866949,0.786914766,83.89093003
0.105985597,0.8679836,0.762019231,83.92913367
0.139135361,0.85909057,0.777777778,131.6477559
0.100087211,0.52390605,0.695246971,137.7044651
0.112301365,0.7830158,0.609649123,162.7597709
0.096241117,0.6849586,0.782585181,172.2247231
0.106717817,0.72347164,0.779033271,154.4905695
0.098767087,0.66589755,0.715277778,91.48160617
0.114580423,0.6498888,0.786389414,102.119873
0.08606302,0.86666363,0.771627566,126.8484773
0.08837913,0.70728695,0.774659864,136.3107967
0.097071439,0.8692274,0.778388278,138.58721
0.106126122,0.5143827,0.754049446,130.7178094
0.081378259,0.60402,0.726689977,130.2233588
0.105782315,0.9543132,0.770685579,138.8190096
0.103013813,0.62089705,0.781653747,157.53027
0.120373085,0.9281742,0.760416667,116.8745499
0.12832211,0.7115733,0.725925926,132.9632619
0.085974835,0.505079,0.811491935,103.4676525
0.102293767,0.629197,0.77424844,123.6767674
0.090049438,0.48075196,0.785795455,119.9679827
0.075507745,-0.08803035,0.809009009,108.0559738
0.084928952,0.90164834,0.726824458,106.3649967
0.088923551,0.57320434,0.778510218,105.048344
,0.8399414,0.731140102,102.7239263
0.131757185,0.5435915,0.691051136,99.6223367
0.148085505,0.049982373,0.734193976,103.6159724
0.186363995,0.4342081,0.779598309,103.6790918
0.065853469,0.6797191,0.772397094,98.88773108
0.067022197,0.4493182,0.81091954,99.06308284
0.141942769,0.88209134,0.788870704,106.6747869
0.12649782,0.9683656,0.784090909,106.8930501
0.088880569,0.81749207,0.712142262,106.9684977
0.09243311,0.8778555,0.75170068,102.2886848
,0.91962874,0.734693878,110.7138343
,0.72562885,0.779268293,115.6523019
0.101830564,0.74903095,0.731863442,110.8598979
0.148333073,0.9105905,0.789806548,102.9097354
0.091049813,0.6981292,0.780023781,114.475426
0.109534375,0.4974141,0.74375,109.5513642
0.148074001,-0.06636607,0.732897603,114.1082628
0.140946195,0.90688515,0.761689291,118.6713522
0.130261511,0.7649195,0.665251839,120.5454511
0.13227284,0.7973726,0.731031543,116.5744019
0.110850699,0.5003685,0.765692641,121.9776072
0.112304375,0.39561045,0.706404321,118.3308246
0.105458133,0.7928668,0.777674419,120.4208184
0.110392757,0.41581962,0.66344086,129.5368042
0.110993959,0.683921,0.750416667,121.6601182
0.130631626,0.6279313,0.653054221,119.2591617
0.17900084,0.8549541,0.757342657,111.6766477
0.116385058,0.5668559,0.745879121,113.8740914
0.133448273,0.9316376,0.798240101,114.9992252
0.129036874,0.82734966,0.762711864,114.5192869
0.096319638,0.6373505,0.745454545,111.0522298
0.084501185,0.76566416,0.773674242,115.0346328
0.089386731,0.5696063,0.796111111,116.2392838
0.091031738,0.48013985,0.791997354,116.5731656
0.093487352,0.35809955,0.812165587,114.8203783
0.106457807,0.46711177,0.756321839,115.5439059
,0.7627481,0.756571429,98.97028741
,0.87771636,0.798039216,98.49593666
0.118232064,0.18572316,0.742894057,95.06837464
0.136228606,0.5774019,0.718360071,89.40839196
0.097396195,0.38560426,0.758381924,89.56952167
0.086937211,0.63045996,0.77324263,94.38767599
0.053128872,0.8204584,0.715619694,118.5549672
0.068491511,0.18063672,0.799388112,112.3448088
0.08030583,0.058679614,0.735942249,106.4702981
0.035753291,0.68007505,0.776942356,111.7181951
0.043130498,0.3947269,0.750445633,107.8085139
0.050846778,0.21410465,0.683333333,101.8470675
0.125603467,0.7886257,0.783783784,90.83626614
0.123560794,0.63215643,0.75,97.83587029
0.091023229,0.618221,0.78961039,122.3453911
0.10033004,0.71955395,0.806267806,120.2928089
0.181547642,0.85612106,0.764705882,109.3057144
0.132858396,0.5256671,0.760891591,116.3193224
0.13136588,0.42588204,0.743343195,114.1692957
0.104083933,0.6597397,0.787037037,115.9889101
0.101299427,0.85093963,0.772591857,111.910279
0.099258773,0.2018955,0.766136163,98.77646867
0.10635405,0.16248076,0.767982456,100.1841828
0.108394153,0.82711816,0.716108453,108.0188396
0.096233256,0.8242359,0.694155844,103.2991918
0.087470599,0.6318779,0.77787068,110.7125023
0.107454844,0.842391,0.755981995,117.2236288
0.11804916,0.7669203,0.732441472,119.6681405
0.085738882,0.537489,0.778571429,109.9041654
0.106399715,0.6897578,0.739737274,113.0265378
0.069984794,0.7402954,0.768958544,122.2300529
0.05321715,0.75157744,0.771460424,123.7098817
0.068671942,0.92595434,0.77027027,116.9395957
,0.9676714,0.601134216,124.0348784
0.13590692,0.7757429,0.816806723,147.2507152
0.130840659,0.7339108,0.6685633,149.4949071
